latitude,longitude
40.0645766,-82.9410439
40.0641969,-82.9413273
40.0645257,-82.9399825
40.0640963,-82.939601
40.0639939,-82.9398636
40.0645617,-82.9406294
40.0645515,-82.9404078
40.0645719,-82.9408366
40.0643292,-82.9395061
40.0645894,-82.9413048
40.0645386,-82.9402005
40.0644832,-82.9397365
40.0640906,-82.9403799
40.0640532,-82.9401117
40.0638332,-82.9402375
40.0635188,-82.9405866
40.0635625,-82.9408999
40.0636269,-82.9403305
40.0637947,-82.9409675
40.0641848,-82.9408771
40.0639789,-82.9408936
40.0631007,-82.9444607
40.0627984,-82.9445695
40.0633241,-82.9449266
40.0631968,-82.9451794
40.063295,-82.9446406
40.0628404,-82.9450592
40.0628734,-82.9464921
40.0626253,-82.9438825
40.0624556,-82.9473754
40.062512,-82.9469721
40.0624782,-82.9443031
40.0628632,-82.9463098
40.0624842,-82.9456321
40.0624664,-82.9445209
40.0624866,-82.9464396
40.0628935,-82.9455455
40.0628425,-82.945956
40.062952,-82.9474894
40.0624818,-82.9462573
40.0628528,-82.9461347
40.062514,-82.9471578
40.0625285,-82.9440569
40.0624612,-82.9458892
40.0625043,-82.9453965
40.0625023,-82.9451928
40.0628323,-82.945763
40.0629623,-82.9440597
40.0629016,-82.9470246
40.0631487,-82.943986
40.062931,-82.9472284
40.0624921,-82.9449748
40.0624737,-82.9447639
40.0625017,-82.9468041
40.0635329,-82.9434095
40.0624941,-82.9466218
40.0624715,-82.9460786
40.0628423,-82.9453058
40.0628324,-82.9442911
40.0633273,-82.9439586
40.0626737,-82.9477555
40.0628838,-82.9466672
40.0628688,-82.9477067
40.0628913,-82.9468495
40.0649755,-82.9401318
40.0660712,-82.9378129
40.0653655,-82.939334
40.0653225,-82.9390943
40.0649579,-82.9396958
40.0652958,-82.9388726
40.0651043,-82.9379854
40.0654023,-82.9397594
40.0650038,-82.9406286
40.0648771,-82.9392666
40.0653936,-82.9384338
40.0650132,-82.9410431
40.0656721,-82.9373602
40.0654217,-82.940449
40.0658871,-82.937851
40.0661115,-82.9372915
40.0650102,-82.938167
40.0654421,-82.9408815
40.06519,-82.9378073
40.0649883,-82.9403605
40.0650113,-82.9408216
40.0649202,-82.9394955
40.0648111,-82.9385766
40.0648395,-82.9390591
40.0654199,-82.9401954
40.0662551,-82.9378033
40.0649708,-82.9399031
40.0653115,-82.9376223
40.0650407,-82.9417578
40.0654137,-82.9374407
40.0648075,-82.9388088
40.0653949,-82.9395378
40.0653186,-82.9386584
40.064897,-82.9383556
40.0654071,-82.9399523
40.0654319,-82.9406635
40.0661026,-82.9382096
40.0661885,-82.9394785
40.0662664,-82.9399328
40.0662453,-82.9396968
40.0658866,-82.9401983
40.0655595,-82.9381097
40.0657509,-82.939047
40.0657402,-82.9397079
40.0657637,-82.9392865
40.0657306,-82.9386074
40.0661309,-82.940182
40.0656765,-82.9383892
40.0661673,-82.9392605
40.0661572,-82.9390282
40.0661497,-82.9388423
40.0661531,-82.9386494
40.0661376,-82.9383956
40.0657502,-82.9399724
40.0657462,-82.9388433
40.065763,-82.9394865
40.0634073,-82.9425227
40.0634449,-82.942748
40.063988,-82.9438317
40.0639293,-82.943374
40.063718,-82.9445718
40.0635119,-82.9431664
40.0634742,-82.9429804
40.063422,-82.9422441
40.0638502,-82.9422719
40.0636502,-82.9443535
40.0638962,-82.9431582
40.0635586,-82.9438741
40.0639505,-82.9435778
40.0638346,-82.9427505
40.0636044,-82.9441245
40.0638136,-82.9425146
40.0638668,-82.9429472
40.0643215,-82.9432252
40.0642297,-82.9428066
40.0645225,-82.9423226
40.0642957,-82.9435001
40.0643302,-82.9423714
40.0642866,-82.943007
40.0646923,-82.942431
40.0642142,-82.9425457
40.0627765,-82.9436693
40.0626923,-82.9434079
40.0630782,-82.9432563
40.063079,-82.9427907
40.0627654,-82.9425155
40.0625698,-82.9427184
40.0630793,-82.9430345
40.0625476,-82.9429934
40.0626861,-82.9431955
40.0629673,-82.9425756
40.0631594,-82.9434714
40.063135,-82.9415037
40.0633196,-82.9416194
40.062878,-82.9418526
40.0629318,-82.9421157
40.0631386,-82.9422195
40.0629304,-82.9415836
40.0661317,-82.9370344
40.0661328,-82.936745
40.0660134,-82.9363619
40.065779,-82.9366498
40.0656383,-82.936849
